filename,width,height,class,xmin,ymin,xmax,ymax
image (1015).png,2480,3476,stamp,990,2597,1510,3285
image (1016).png,2476,3476,signature,1800,2350,2165,2653
image (1016).png,2476,3476,stamp,987,2479,1517,3117
image (1017).png,2480,3480,signature,1703,2488,2238,2807
image (1017).png,2480,3480,stamp,774,2583,1343,3160
image (1018).png,2468,3480,signature,1827,2364,2042,2611
image (1018).png,2468,3480,stamp,1472,2740,1995,3395
image (1019).png,2476,3480,signature,1891,2308,2145,2549
image (1019).png,2476,3480,stamp,865,2376,1435,2953
image (102).png,2476,3476,signature,274,2826,602,3112
image (102).png,2476,3476,stamp,833,2737,1098,3224
image (1020).png,2468,3480,signature,1840,2583,2283,2857
image (1020).png,2468,3480,stamp,638,2689,1196,3278
image (1021).png,2476,3480,signature,1762,2415,2230,2673
image (1021).png,2476,3480,stamp,675,2572,1241,3065
image (1022).png,2472,3480,signature,1846,2364,2211,2611
image (1022).png,2472,3480,stamp,1071,2409,1603,3059
image (1023).png,2472,3480,signature,1732,2605,2279,2902
image (1023).png,2472,3480,stamp,931,2605,1453,3250
image (1024).png,2476,3476,signature,1886,2261,2169,2546
image (1024).png,2476,3476,stamp,911,2418,1434,3151
image (1025).png,2472,3476,signature,1716,2266,1984,2502
image (1025).png,2472,3476,stamp,679,2188,1217,2877
image (1026).png,2472,3480,signature,1852,2331,2035,2560
image (1026).png,2472,3480,stamp,616,2342,1179,2970
image (1027).png,2476,3484,signature,1606,2468,2263,2749
image (1027).png,2476,3484,stamp,540,2418,1120,2833
image (1028).png,2468,3480,signature,1601,2359,2021,2600
image (1028).png,2468,3480,stamp,826,2219,1322,3037
image (1029).png,2476,3472,signature,1702,2532,2029,2750
image (1029).png,2476,3472,stamp,580,2487,1150,2985
image (103).png,2472,3484,signature,1161,2507,1580,2861
image (103).png,2472,3484,stamp,656,2642,878,3091
image (1030).png,2472,3476,signature,1591,2580,1854,2798
image (1030).png,2472,3476,stamp,625,2530,1216,2955
image (1031).png,2468,3480,signature,1624,2320,1992,2549
image (1031).png,2468,3480,stamp,996,2202,1510,2930
image (1032).png,2468,3476,signature,1735,2457,2037,2765
image (1032).png,2468,3476,stamp,797,2401,1302,3123
image (1033).png,2472,3472,signature,1632,2219,2151,2610
image (1033).png,2472,3472,stamp,652,2320,1210,3007
image (1034).png,2468,3480,signature,1499,2247,2060,2572
image (1034).png,2468,3480,stamp,828,2269,1286,3059
image (1035).png,2476,3476,signature,1579,2412,1880,2664
image (1035).png,2476,3476,stamp,1526,2871,2112,3341
image (1036).png,2476,3472,signature,1686,2085,2013,2337
image (1036).png,2476,3472,stamp,1466,2616,2078,3119
image (1037).png,2480,3480,signature,1623,2291,2074,2566
image (1037).png,2480,3480,stamp,1403,2762,1998,3351
image (1038).png,2476,3476,signature,1664,2546,2049,2843
image (1038).png,2476,3476,stamp,1434,2994,2002,3403
image (1039).png,2480,3476,signature,1820,2507,2012,2781
image (1039).png,2480,3476,stamp,1496,2949,2070,3397
image (104).png,2476,3484,signature,241,2737,457,2934
image (104).png,2476,3484,stamp,771,2676,1045,3147
image (1040).png,2476,3476,signature,1588,2311,1902,2563
image (1040).png,2476,3476,stamp,860,2597,1450,3134
image (1041).png,2476,3480,signature,1659,2320,1965,2566
image (1041).png,2476,3480,stamp,680,2650,1248,3244
image (1042).png,2480,3484,signature,1621,2479,2078,2743
image (1042).png,2480,3484,stamp,707,2692,1314,3209
image (1043).png,2476,3480,signature,1653,2376,1864,2549
image (1043).png,2476,3480,stamp,707,2684,1267,3216
image (1044).png,2480,3476,signature,1809,2440,2000,2669
image (1044).png,2480,3476,stamp,720,2507,1296,3100
image (1045).png,2476,3480,signature,1722,2286,1976,2516
image (1045).png,2476,3480,stamp,791,2527,1383,3132
image (1046).png,2472,3476,signature,1580,2496,2047,2742
image (1046).png,2472,3476,stamp,853,2446,1419,3039
image (1047).png,2472,3476,signature,1687,2630,2022,2849
image (1047).png,2472,3476,stamp,795,2541,1361,3134
image (1048).png,2472,3476,signature,1748,2300,2105,2558
image (1048).png,2472,3476,stamp,815,2272,1379,2916
image (1049).png,2472,3484,signature,1616,2496,2111,2704
image (1049).png,2472,3484,stamp,810,2378,1370,2984
image (105).png,2472,3476,signature,297,2373,663,2597
image (105).png,2472,3476,stamp,724,2474,1016,2972
image (1050).png,2468,3480,signature,1557,2213,2017,2432
image (1050).png,2468,3480,stamp,689,2118,1250,2897
image (1051).png,2480,3476,signature,1741,2289,2061,2502
image (1051).png,2480,3476,stamp,725,2188,1352,2938
image (1052).png,2468,3484,signature,1579,2440,1860,2659
image (1052).png,2468,3484,stamp,694,2418,1237,3012
image (1053).png,2476,3472,signature,1657,2543,2009,2795
image (1053).png,2476,3472,stamp,756,2454,1296,2912
image (1054).png,2468,3480,signature,1735,2448,1977,2723
image (1054).png,2468,3480,stamp,931,2376,1494,2908
image (1055).png,2476,3480,signature,1795,2577,2082,2863
image (1055).png,2476,3480,stamp,789,2409,1339,3087
image (1056).png,2476,3476,signature,1753,2300,2085,2569
image (1056).png,2476,3476,stamp,713,2216,1287,2989
image (1057).png,2488,3504,signature,425,1878,698,2155
image (1058).png,2488,3504,signature,1342,2443,1763,2905
image (1059).png,2488,3504,signature,1245,2341,1634,2725
image (106).png,2472,3480,signature,304,2454,596,2678
image (106).png,2472,3480,stamp,759,2376,989,2846
image (1060).png,2488,3504,signature,1160,2273,1791,2640
image (1061).png,2488,3504,signature,1247,1884,1437,2240
image (1062).png,2488,3504,signature,419,1850,822,2245
image (1063).png,2488,3504,signature,1253,2003,1632,2330
image (1064).png,2488,3504,signature,649,1901,1207,2257
image (1065).png,2488,3504,signature,1512,1687,2097,2127
image (1066).png,2488,3504,signature,1119,1907,1645,2313
image (1067).png,2488,3504,signature,729,1912,1207,2273
image (1068).png,2488,3504,signature,388,2014,835,2364
image (1069).png,2488,3504,signature,1368,1963,1805,2347
image (107).png,2468,3480,signature,316,2364,882,2605
image (107).png,2468,3480,stamp,902,2443,1170,2891
image (1070).png,2488,3504,signature,1273,1941,1679,2257
image (1071).png,2488,3504,signature,1258,1974,1612,2319
image (1072).png,2488,3504,signature,791,2138,1214,2578
image (1073).png,2488,3504,signature,1260,2336,1466,2691
image (1074).png,2488,3504,signature,1227,1907,1481,2211
image (1075).png,2488,3504,signature,1253,1991,1431,2448
image (1076).png,2488,3504,signature,678,1760,846,2115
image (1077).png,2488,3504,signature,572,1805,848,2087
image (1078).png,2488,3504,signature,1083,1997,1577,2296
image (1079).png,2488,3504,signature,204,2161,811,2510
image (108).png,2476,3480,signature,252,2426,747,2667
image (108).png,2476,3480,stamp,760,2516,1043,2992
image (1080).png,2488,3504,signature,1125,1732,1659,2104
image (1081).png,2488,3504,signature,1109,2003,1747,2409
image (1081).png,2488,3504,stamp,1794,1675,2125,2104
image (1082).png,2488,3504,signature,1377,1991,1769,2369
image (1083).png,2488,3504,signature,1499,2319,1944,2747
image (1083).png,2488,3504,stamp,403,2352,736,2832
image (1084).png,2488,3504,signature,1326,2048,1767,2454
image (1085).png,2488,3504,signature,751,1856,1103,2234
image (1085).png,2488,3504,stamp,156,2036,454,2544
image (1086).png,2488,3504,signature,1528,1630,1727,2025
image (1086).png,2488,3504,stamp,727,1941,1037,2414
image (1087).png,2488,3504,signature,1189,1957,1661,2302
image (1087).png,2488,3504,stamp,1340,2319,1636,2781
image (1088).png,2488,3504,signature,1413,1766,1847,2172
image (1088).png,2488,3504,stamp,930,1811,1178,2403
image (1089).png,2476,3484,stamp,1168,2193,1455,2519
image (1089).png,2476,3484,signature,1710,2311,2005,2514
image (109).png,2480,3472,signature,260,2348,500,2594
image (109).png,2480,3472,stamp,1483,2275,1794,2767
image (1090).png,2476,3480,signature,1807,2398,2074,2611
image (1090).png,2476,3480,stamp,1290,2331,1570,2706
image (1091).png,2476,3480,signature,778,2291,1107,2488
image (1091).png,2476,3480,stamp,1361,2320,1657,2695
image (1092).png,2476,3488,signature,894,2336,1374,2667
image (1092).png,2476,3488,stamp,1513,2269,1800,2617
image (1093).png,2476,3488,signature,978,2280,1245,2538
image (1093).png,2476,3488,stamp,1379,2370,1660,2729
image (1094).png,2476,3484,signature,746,2238,992,2451
image (1094).png,2476,3484,stamp,1332,2289,1633,2732
image (1095).png,2472,3484,signature,909,2350,1448,2732
image (1095).png,2472,3484,stamp,1524,2490,1788,2821
image (1096).png,2472,3480,signature,1509,2673,1911,3003
image (1096).png,2472,3480,stamp,1056,2622,1337,3098
image (1096).png,2472,3480,stamp,1036,1272,1513,1969
image (1097).png,2472,3480,signature,790,2320,1207,2639
image (1097).png,2472,3480,stamp,1935,2157,2207,2605
image (1098).png,2472,3480,signature,1058,2544,1591,2919
image (1098).png,2472,3480,stamp,1986,980,2245,1356
image (1099).png,2476,3480,signature,1706,2275,2011,2577
image (1099).png,2476,3480,stamp,920,2039,1239,2471
image (11).png,2476,3480,signature,1706,2275,2011,2577
image (11).png,2476,3480,stamp,920,2039,1239,2471
image (110).png,2476,3476,signature,286,2608,686,2860
image (110).png,2476,3476,stamp,1689,2530,1964,3017
image (1100).png,2468,3480,signature,1027,2112,1490,2432
image (1100).png,2468,3480,stamp,1648,2101,1948,2460
image (1101).png,2468,3480,signature,638,2493,986,2712
image (1101).png,2468,3480,stamp,2066,1255,2350,1866
image (1102).png,2480,3480,signature,1510,2527,1865,2807
image (1102).png,2480,3480,stamp,1810,2605,2076,2908
image (1103).png,2468,3480,signature,1503,2432,1744,2796
image (1103).png,2468,3480,stamp,1793,2314,2062,2667
image (1104).png,2480,3484,signature,1569,2109,1907,2507
image (1104).png,2480,3484,stamp,1238,2322,1507,2788
image (1105).png,2480,3472,signature,1545,2353,1740,2655
image (1105).png,2480,3472,stamp,1790,2460,2052,2884
image (1106).png,2480,3476,signature,1790,2524,2098,2832
image (1106).png,2480,3476,stamp,1410,2395,1674,2787
image (1107).png,2472,3484,signature,828,2025,1145,2311
image (1107).png,2472,3484,stamp,1573,2199,1854,2597
image (1108).png,2476,3484,signature,1428,2305,1844,2692
image (1108).png,2476,3484,stamp,1875,2120,2125,2468
image (1109).png,2484,3492,signature,1056,2316,1713,2586
image (1109).png,2484,3492,stamp,1826,2328,2092,2749
image (111).png,2476,3472,signature,277,2297,548,2571
image (111).png,2476,3472,stamp,1386,2605,1613,3069
image (1110).png,2472,3480,signature,735,2241,1076,2544
image (1110).png,2472,3480,stamp,1603,2275,1877,2617
image (1111).png,2476,3480,signature,1746,2504,2154,2835
image (1111).png,2476,3480,stamp,1323,2398,1584,2852
image (1112).png,2472,3484,signature,1138,2137,1594,2446
image (1112).png,2472,3484,stamp,1634,2210,1899,2631
image (1113).png,2468,3480,signature,1472,2801,1726,3126
image (1113).png,2468,3480,stamp,1807,2645,2104,3020
image (1114).png,2468,3480,signature,1762,2325,2080,2633
image (1114).png,2468,3480,stamp,1308,2303,1585,2745
image (1115).png,2480,3476,signature,792,2261,1283,2507
image (1115).png,2480,3476,stamp,1325,2378,1590,2753
image (1116).png,2472,3480,signature,927,2437,1502,2712
image (1116).png,2472,3480,stamp,1638,2426,1915,2863
image (1117).png,2480,3476,signature,1583,2468,1865,2759
image (1117).png,2480,3476,stamp,1543,2115,1796,2440
image (1118).png,2480,3480,signature,1678,2241,2001,2555
image (1118).png,2480,3480,stamp,880,2073,1161,2443
image (1119).png,2480,3480,signature,1818,2325,2238,2667
image (1119).png,2480,3480,stamp,945,2129,1245,2465
image (112).png,2468,3480,signature,351,2516,877,2745
image (112).png,2468,3480,stamp,816,2768,1129,3199
image (1120).png,2476,3476,signature,971,2071,1472,2311
image (1120).png,2476,3476,stamp,1677,2048,1951,2507
image (1121).png,2476,3484,signature,1880,2389,2149,2591
image (1121).png,2476,3484,stamp,1183,2474,1526,2883
image (1122).png,2476,3484,signature,1804,2260,2201,2519
image (1122).png,2476,3484,stamp,1201,2333,1532,2816
image (1123).png,2476,3472,signature,1869,2325,2221,2571
image (1123).png,2476,3472,stamp,1228,2387,1579,2845
image (1124).png,2476,3480,signature,1842,2364,2289,2706
image (1124).png,2476,3480,stamp,1697,2813,2045,3289
image (1125).png,2476,3476,signature,1838,2278,2103,2563
image (1125).png,2476,3476,stamp,1795,2641,2163,3067
image (1126).png,2476,3484,signature,1766,2440,2049,2625
image (1126).png,2476,3484,stamp,1472,2687,1829,3169
image (1127).png,2468,3480,signature,1650,2516,2203,2717
image (1127).png,2468,3480,stamp,1358,2650,1738,3211
image (1128).png,2468,3484,signature,1849,2401,2167,2648
image (1128).png,2468,3484,stamp,1787,2709,2140,3102
image (1129).png,2468,3480,signature,1617,2364,2060,2689
image (1129).png,2468,3480,stamp,1793,2729,2151,3222
image (113).png,2468,3480,signature,231,2359,551,2645
image (113).png,2468,3480,stamp,1778,2370,2107,2785
image (1130).png,2480,3476,signature,1885,2664,2163,2871
image (1130).png,2480,3476,stamp,1200,2619,1576,3179
image (1131).png,2480,3484,signature,1649,2479,2298,2698
image (1131).png,2480,3484,stamp,1821,2788,2207,3282
image (1132).png,2468,3484,signature,1530,2934,1776,3136
image (1132).png,2468,3484,stamp,522,2838,892,3360
image (1133).png,2472,3484,signature,1866,2317,2020,2569
image (1133).png,2472,3484,stamp,1274,2552,1641,3130
image (1134).png,2468,3480,signature,1764,2314,2173,2527
image (1134).png,2468,3480,stamp,1727,2611,2113,3104
image (1135).png,2476,3480,signature,1940,2308,2212,2488
image (1135).png,2476,3480,stamp,1385,2331,1742,2835
image (1136).png,2468,3480,signature,1726,2465,2285,2723
image (1136).png,2468,3480,stamp,1353,2516,1706,3031
image (1137).png,2472,3484,signature,1797,2462,2104,2670
image (1137).png,2472,3484,stamp,1009,2423,1371,2951
image (1138).png,2472,3484,signature,1792,2715,2247,2956
image (1138).png,2472,3484,stamp,1089,2749,1446,3203
image (1139).png,2476,3484,signature,1748,2434,2229,2726
image (1139).png,2476,3484,stamp,905,2468,1285,3085
image (114).png,2472,3484,signature,262,2563,661,2810
image (114).png,2472,3484,stamp,1863,2479,2172,2922
image (1140).png,2476,3480,signature,1844,2258,2120,2510
image (1140).png,2476,3480,stamp,1281,2420,1622,2869
image (1141).png,2476,3484,signature,1807,2457,2067,2653
image (1141).png,2476,3484,stamp,1339,2552,1689,3018
image (1142).png,2476,3484,signature,1728,2446,2145,2676
image (1142).png,2476,3484,stamp,1250,2446,1586,2934
image (1143).png,2476,3480,signature,1789,2476,2165,2740
image (1143).png,2476,3480,stamp,1100,2448,1448,2925
image (1144).png,2476,3484,signature,1906,2457,2125,2720
image (1144).png,2476,3484,stamp,1241,2490,1581,2945
image (1145).png,2472,3480,signature,1790,2348,2125,2560
image (1145).png,2472,3480,stamp,1226,2348,1560,2869
image (1146).png,2476,3480,signature,1882,2325,2241,2532
image (1146).png,2476,3480,stamp,1152,2286,1488,2734
image (1147).png,2476,3476,signature,1842,2317,2005,2580
image (1147).png,2476,3476,stamp,942,2418,1292,2860
image (1148).png,2480,3484,signature,1901,2625,2214,2917
image (1148).png,2480,3484,stamp,1163,2389,1500,2805
image (1149).png,2468,3480,signature,1856,2308,2082,2600
image (1149).png,2468,3480,stamp,911,2342,1290,2874
image (115).png,2468,3480,signature,351,2415,879,2712
image (115).png,2468,3480,stamp,1883,2381,2212,2835
image (1150).png,2476,3480,signature,1833,2633,2189,2863
image (1150).png,2476,3480,stamp,1178,2628,1542,3160
image (1151).png,2476,3484,signature,1842,2597,2149,2799
image (1151).png,2476,3484,stamp,1120,2563,1481,3068
image (1152).png,2476,3480,signature,1764,2135,2180,2443
image (1152).png,2476,3480,stamp,1152,2168,1522,2684
image (1153).png,2472,3484,signature,1565,2625,1835,2827
image (1153).png,2472,3484,stamp,1901,2485,2201,2917
image (1154).png,2480,3484,signature,1467,2345,1780,2608
image (1154).png,2480,3484,stamp,1465,2838,1765,3248
image (1155).png,2476,3476,signature,1542,2401,1860,2608
image (1155).png,2476,3476,stamp,811,2490,1114,2933
image (1156).png,2476,3480,signature,1495,2482,1660,2656
image (1156).png,2476,3480,stamp,1962,2476,2270,2902
image (1157).png,2472,3484,signature,1556,2603,1861,2889
image (1157).png,2472,3484,stamp,1962,2608,2258,3029
image (1158).png,2468,3480,signature,1496,2370,1749,2622
image (1158).png,2468,3480,stamp,767,2482,1065,2930
image (1159).png,2476,3480,signature,1492,2611,1864,2852
image (1159).png,2476,3480,stamp,1490,2975,1804,3306
image (116).png,2480,3484,signature,276,2541,487,2765
image (116).png,2480,3484,stamp,1861,2496,2165,2967
image (1160).png,2472,3484,signature,1469,2552,1712,2749
image (1160).png,2472,3484,stamp,1446,2872,1738,3338
image (1161).png,2468,3484,signature,1449,2367,1896,2625
image (1161).png,2468,3484,stamp,1452,2799,1784,3203
image (1162).png,2476,3476,signature,1575,2558,1793,2832
image (1162).png,2476,3476,stamp,1493,3039,1800,3436
image (1163).png,2480,3484,signature,1489,2591,1827,2833
image (1163).png,2480,3484,stamp,1085,2636,1405,3108
image (1164).png,2472,3480,signature,1469,2560,1877,2841
image (1164).png,2472,3480,stamp,1931,2588,2250,3054
image (1165).png,2468,3484,signature,1472,2519,1688,2709
image (1165).png,2468,3484,stamp,1894,2457,2207,2889
image (1166).png,2476,3480,signature,1479,2510,1740,2717
image (1166).png,2476,3480,stamp,1003,2504,1321,2885
image (1167).png,2472,3484,signature,1437,2608,1895,2844
image (1167).png,2472,3484,stamp,1986,2580,2307,3085
image (1168).png,2468,3480,signature,1445,2555,1860,2835
image (1168).png,2468,3480,stamp,875,2588,1179,3003
image (1169).png,2472,3480,signature,1471,2493,1788,2723
image (1169).png,2472,3480,stamp,1962,2359,2261,2824
image (117).png,2468,3480,signature,229,2398,463,2611
image (117).png,2468,3480,stamp,1002,2303,1329,2807
image (1170).png,2468,3480,signature,1423,2443,1912,2717
image (1170).png,2468,3480,stamp,875,2409,1190,2846
image (1171).png,2476,3480,signature,1621,2432,1864,2633
image (1171).png,2476,3480,stamp,1989,2415,2296,2885
image (1172).png,2476,3476,signature,1528,2462,1900,2720
image (1172).png,2476,3476,stamp,923,2513,1219,3005
image (1173).png,2476,3480,signature,1443,2409,1882,2633
image (1173).png,2476,3480,stamp,983,2392,1288,2813
image (1174).png,2480,3480,signature,1530,2370,1796,2622
image (1174).png,2480,3480,stamp,1616,2846,1912,3233
image (1175).png,2480,3480,signature,1396,2460,1654,2645
image (1175).png,2480,3480,stamp,1558,2824,1863,3227
image (1176).png,2476,3476,signature,1497,2367,1987,2602
image (1176).png,2476,3476,stamp,1379,2804,1691,3246
image (1177).png,2468,3480,signature,1376,2549,1921,2841
image (1177).png,2468,3480,stamp,2048,2611,2350,3076
image (1178).png,2472,3484,signature,1515,2468,1819,2749
image (1178).png,2472,3484,stamp,860,2563,1161,3046
image (1179).png,2472,3480,signature,1406,2885,1663,3132
image (1179).png,2472,3480,stamp,1047,2807,1337,3250
image (118).png,2476,3480,signature,265,2420,731,2656
image (118).png,2476,3480,stamp,1395,2325,1717,2751
image (1180).png,2472,3480,signature,1453,2448,1826,2673
image (1180).png,2472,3480,stamp,936,2527,1223,2998
image (1181).png,2476,3484,signature,1401,2446,2034,2754
image (1181).png,2476,3484,stamp,2060,2434,2368,2928
image (1182).png,2472,3484,signature,1467,2406,1786,2653
image (1182).png,2472,3484,stamp,846,2614,1161,3130
image (1183).png,2476,3476,signature,1535,2597,1820,2854
image (1183).png,2476,3476,stamp,1461,2966,1777,3352
image (1184).png,2476,3484,signature,1410,2513,1806,2827
image (1184).png,2476,3484,stamp,1508,2917,1822,3338
image (1185).png,2472,3480,signature,250,2224,520,2460
image (1185).png,2472,3480,stamp,935,2213,1212,2689
image (1186).png,2476,3484,signature,245,2210,680,2468
image (1186).png,2476,3484,stamp,898,2255,1139,2743
image (1187).png,2476,3476,signature,239,2474,515,2669
image (1187).png,2476,3476,stamp,588,2552,838,3056
image (1188).png,2468,3484,signature,231,2367,629,2620
image (1188).png,2468,3484,stamp,756,2446,1045,3018
image (1189).png,2472,3484,signature,288,2524,931,2782
image (1189).png,2472,3484,stamp,947,2676,1219,3231
image (119).png,2484,3488,signature,267,2409,546,2623
image (119).png,2484,3488,stamp,1761,977,2076,1421
image (1190).png,2476,3476,signature,274,2826,602,3112
image (1190).png,2476,3476,stamp,833,2737,1098,3224
image (1191).png,2472,3484,signature,1161,2507,1580,2861
image (1191).png,2472,3484,stamp,656,2642,878,3091
image (1192).png,2476,3484,signature,241,2737,457,2934
image (1192).png,2476,3484,stamp,771,2676,1045,3147
image (1193).png,2472,3476,signature,297,2373,663,2597
image (1193).png,2472,3476,stamp,724,2474,1016,2972
image (1194).png,2472,3480,signature,304,2454,596,2678
image (1194).png,2472,3480,stamp,759,2376,989,2846
image (1195).png,2468,3480,signature,316,2364,882,2605
image (1195).png,2468,3480,stamp,902,2443,1170,2891
image (1196).png,2476,3480,signature,252,2426,747,2667
image (1196).png,2476,3480,stamp,760,2516,1043,2992
image (1197).png,2480,3472,signature,260,2348,500,2594
image (1197).png,2480,3472,stamp,1483,2275,1794,2767
image (1198).png,2476,3476,signature,286,2608,686,2860
image (1198).png,2476,3476,stamp,1689,2530,1964,3017
image (1199).png,2476,3472,signature,277,2297,548,2571
image (1199).png,2476,3472,stamp,1386,2605,1613,3069
image (12).png,2468,3480,signature,1027,2112,1490,2432
image (12).png,2468,3480,stamp,1648,2101,1948,2460
image (120).png,2480,3480,signature,274,2437,501,2673
image (120).png,2480,3480,stamp,1741,1064,2110,1485
image (1200).png,2468,3480,signature,351,2516,877,2745
image (1200).png,2468,3480,stamp,816,2768,1129,3199
image (1201).png,2468,3480,signature,231,2359,551,2645
image (1201).png,2468,3480,stamp,1778,2370,2107,2785
image (1202).png,2472,3484,signature,262,2563,661,2810
image (1202).png,2472,3484,stamp,1863,2479,2172,2922
image (1203).png,2468,3480,signature,351,2415,879,2712
image (1203).png,2468,3480,stamp,1883,2381,2212,2835
image (1204).png,2480,3484,signature,276,2541,487,2765
image (1204).png,2480,3484,stamp,1861,2496,2165,2967
image (1205).png,2468,3480,signature,229,2398,463,2611
image (1205).png,2468,3480,stamp,1002,2303,1329,2807
image (1206).png,2476,3480,signature,265,2420,731,2656
image (1206).png,2476,3480,stamp,1395,2325,1717,2751
image (1207).png,2484,3488,signature,267,2409,546,2623
image (1207).png,2484,3488,stamp,1761,977,2076,1421
image (1208).png,2480,3480,signature,274,2437,501,2673
image (1208).png,2480,3480,stamp,1741,1064,2110,1485
image (1209).png,2476,3484,signature,263,2289,531,2502
image (1209).png,2476,3484,stamp,1753,987,2087,1419
image (121).png,2476,3484,signature,263,2289,531,2502
image (121).png,2476,3484,stamp,1753,987,2087,1419
image (1210).png,2480,3480,signature,267,2359,649,2594
image (1210).png,2480,3480,stamp,1940,1092,2272,1585
image (1211).png,2484,3480,signature,315,2426,469,2622
image (1211).png,2484,3480,stamp,1757,1053,2015,1529
image (1212).png,2480,3484,signature,300,2462,561,2720
image (1212).png,2480,3484,stamp,1714,1088,1974,1638
image (1213).png,2468,3484,signature,256,2418,472,2659
image (1213).png,2468,3484,stamp,1557,1032,1814,1542
image (1214).png,2476,3480,signature,348,2588,678,2818
image (1214).png,2476,3480,stamp,1174,1350,1454,1826
image (1215).png,2472,3484,signature,367,2311,822,2597
image (1215).png,2472,3484,stamp,1270,1037,1531,1548
image (1216).png,2468,3480,signature,246,2639,495,2835
image (1216).png,2468,3480,stamp,1467,1193,1746,1754
image (1217).png,2476,3484,signature,1622,2002,1886,2159
image (1217).png,2476,3484,stamp,1539,2193,1907,2575
image (1218).png,2476,3476,signature,1857,2289,2205,2541
image (1218).png,2476,3476,stamp,1519,2530,1889,2938
image (1219).png,2476,3476,signature,1604,2278,1876,2474
image (1219).png,2476,3476,stamp,1510,2468,1893,2916
image (122).png,2480,3480,signature,267,2359,649,2594
image (122).png,2480,3480,stamp,1940,1092,2272,1585
image (1220).png,2476,3476,signature,1617,2216,1904,2401
image (1220).png,2476,3476,stamp,1310,2395,1668,2809
image (1221).png,2476,3480,signature,1639,2258,2112,2482
image (1221).png,2476,3480,stamp,1170,2622,1537,3042
image (1222).png,2468,3484,signature,1449,2064,1887,2350
image (1222).png,2468,3484,stamp,1740,2277,2131,2648
image (1223).png,2468,3480,signature,1610,2269,1901,2476
image (1223).png,2468,3480,stamp,930,2331,1347,2897
image (1224).png,2468,3480,signature,1494,2073,2044,2320
image (1224).png,2468,3480,stamp,1224,2280,1617,2773
image (1225).png,2468,3480,signature,1548,2090,1937,2280
image (1225).png,2468,3480,stamp,1677,2269,2082,2717
image (1226).png,2468,3484,signature,1568,2479,1805,2664
image (1226).png,2468,3484,stamp,1651,2709,2048,3052
image (1227).png,2480,3480,signature,1589,2331,1889,2521
image (1227).png,2480,3480,stamp,1649,2504,2012,2925
image (1228).png,2468,3476,signature,1597,2244,1963,2401
image (1228).png,2468,3476,signature,1601,2233,1957,2390
image (1228).png,2468,3476,stamp,1651,2446,2066,2871
image (1229).png,2472,3480,signature,1542,2269,2174,2448
image (1229).png,2472,3480,stamp,1578,2460,1950,2874
image (123).png,2484,3480,signature,315,2426,469,2622
image (123).png,2484,3480,stamp,1757,1053,2015,1529
image (1230).png,2468,3480,signature,1619,2460,2088,2701
image (1230).png,2468,3480,stamp,1650,2717,2035,3138
image (1231).png,2476,3472,signature,1693,2057,1994,2214
image (1231).png,2476,3472,stamp,1484,2219,1873,2761
image (1232).png,2472,3480,signature,1583,2359,2093,2588
image (1232).png,2472,3480,stamp,1580,2628,1982,2998
image (1233).png,2472,3484,signature,1580,2277,1959,2502
image (1233).png,2472,3484,stamp,1598,2558,1975,2945
